protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2,num_bases_used,bell_parameter,entanglement_verified,decoy_qber,attack_detected
AB-QKD,ionq_aria,trapped_ion,15,1.0,2,0.5011872336272722,250,119,0.238,0.09639721857281813,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,3,0.5011872336272722,250,136,0.272,0.236257358432958,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,4,0.5011872336272722,250,120,0.24,0.08882146099706055,0.011627472866932375,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,5,0.5011872336272722,250,131,0.262,0.3901035122791119,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,6,0.5011872336272722,250,138,0.276,0.15933428150988108,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,7,0.5011872336272722,250,125,0.25,0.17215479433039388,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,8,0.5011872336272722,250,116,0.232,0.27821540039099996,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,9,0.5011872336272722,250,122,0.244,0.08882146099706055,0.011821264081381249,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,0,0.5011872336272722,250,137,0.274,0.236357358432958,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,1,0.5011872336272722,250,113,0.226,0.18740630948190903,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,2,0.5011872336272722,250,116,0.232,0.18740630948190903,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,3,0.5011872336272722,250,134,0.268,0.236357358432958,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,4,0.5011872336272722,250,127,0.254,0.005588127663727211,0.2261395179195125,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,5,0.5011872336272722,250,135,0.27,0.31328043535603495,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,6,0.5011872336272722,250,126,0.252,0.25558812766372724,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,7,0.5011872336272722,250,141,0.282,0.21987384194944148,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,8,0.5011872336272722,250,119,0.238,0.18740630948190903,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.2,9,0.5011872336272722,250,110,0.22,0.27831540039099995,0.0,0.9995,0.987,10000,1000,4.0,,,,
